Weapon,Standard Revolver,5,20
Weapon,Standard Axe,5,20
Weapon,Standard Flamethrower,5,20
Weapon,Standard Machete,5,20
Weapon,Standard Bat,5,20
Weapon,Premier Revolver,10,40
Weapon,Premier Axe,10,40
Weapon,Premier Flamethrower,10,40
Weapon,Premier Machete,10,40
Weapon,Premier Bat,10,40
Weapon,Ultimate Revolver,15,60
Weapon,Ultimate Axe,15,60
Weapon,Ultimate Flamethrower,15,60
Weapon,Ultimate Machete,15,60
Weapon,Ultimate Bat,15,60
Healer,Standard Herbs,5,20
Healer,Standard Potion,5,20
Healer,Standard FirstAid,5,20
Healer,Premier Herbs,10,40
Healer,Premier Potion,10,40
Healer,Premier FirstAid,10,40
Healer,Ultimate Herbs,15,60
Healer,Ultimate Potion,15,60
Healer,Ultimate FirstAid,15,60
Weapon,Legendary Excalibur-Sword,20,500
